,index,Unnamed: 0,Unnamed: 0.1,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25
0,0,278,278,161,346,86.0,8.0,6.0,1.0,0.8560480828734919,Dfb,1,4.0,71.1
1,1,325,325,161,402,86.0,8.0,6.0,1.0,0.3030950382747632,Dfc,1,4.0,71.1
2,6,1101,1101,166,266,86.0,8.0,6.0,1.0,1.2207217517357662,Dfc,1,4.0,71.1
3,7,1202,1202,166,383,86.0,8.0,6.0,1.0,1.1966972694828517,Dfb,5,5.0,55.0
4,8,1410,1410,167,414,86.0,8.0,6.0,1.0,0.6408789196613043,Dfc,5,5.0,55.0
5,10,1595,1595,168,426,86.0,8.0,6.0,1.0,0.5493247882811261,Dfb,5,5.0,55.0
6,11,1717,1717,169,350,74.0,16.0,10.0,2.0,1.6327153429465395,Dfb,5,5.0,55.0
7,12,1741,1741,169,399,86.0,8.0,6.0,1.0,0.4730296787976158,Dfb,5,5.0,55.0
8,13,1761,1761,169,422,40.0,39.0,21.0,4.0,0.6408789196613043,Dfb,5,5.0,55.0
9,14,1912,1912,170,395,86.0,8.0,6.0,1.0,0.3967345693141624,Dfb,5,5.0,55.0
10,17,2668,2668,174,444,86.0,8.0,6.0,1.0,0.6561379415579722,Dfb,5,5.0,55.0
11,21,2952,2952,176,331,86.0,8.0,6.0,1.0,0.3509575036240449,Dfb,12,1.0,54.0
12,24,3421,3421,179,234,37.0,46.0,17.0,4.0,2.944991226062428,Csb,1,4.0,71.1
13,26,3525,3525,179,361,86.0,8.0,6.0,1.0,1.9760433356222225,Dfb,14,1.0,62.2
14,27,3546,3546,179,408,86.0,8.0,6.0,1.0,2.8992141603723667,Dfb,5,5.0,55.0
15,28,3631,3631,180,275,76.0,16.0,8.0,2.0,0.6561379415579722,Dfc,1,4.0,71.1
16,29,3815,3815,181,272,20.0,40.0,40.0,9.0,0.8545052262150534,Dfc,10,6.0,62.2
17,30,3833,3833,181,290,40.0,39.0,21.0,4.0,0.8545052262150534,BSk,1,4.0,71.1
18,32,3880,3880,181,339,86.0,8.0,6.0,1.0,0.3662165255207697,Dfa,12,1.0,54.0
19,33,3883,3883,181,342,86.0,8.0,6.0,1.0,0.3053330281529472,Dfa,12,1.0,54.0
20,36,4499,4499,184,436,86.0,8.0,6.0,1.0,2.273594262607787,Dfb,5,5.0,55.0
21,37,4828,4828,186,397,86.0,8.0,6.0,1.0,0.6561379415579722,Dfb,12,1.0,54.0
22,39,5307,5307,189,323,86.0,8.0,6.0,1.0,2.2430762188143945,Dfa,12,1.0,54.0
23,40,5878,5878,192,359,,,,4.0,1.7410374439443297,Dfa,12,1.0,54.0
24,41,6203,6203,194,333,86.0,8.0,6.0,1.0,0.3433279926757109,Dfa,12,1.0,54.0
25,42,6453,6453,195,418,18.0,61.0,21.0,3.0,1.9836728465705848,Dfb,4,5.0,55.0
26,44,6728,6728,197,322,86.0,8.0,6.0,1.0,1.1596856641489808,Dfa,12,1.0,54.0
27,45,6743,6743,197,337,37.0,46.0,17.0,4.0,2.602697455982006,Dfa,12,1.0,54.0
28,46,6783,6783,197,377,,,,4.0,0.40383849173050695,Dfa,12,1.0,54.0
29,48,7131,7131,199,352,86.0,10.0,4.0,1.0,1.4190890363927906,Dfa,12,1.0,54.0
30,49,7348,7348,200,388,,,,4.0,0.3298152810627577,Cfa,12,1.0,54.0
31,50,7661,7661,202,357,,,,4.0,0.9842069123369585,Dfa,14,1.0,62.2
32,51,7870,7870,204,228,86.0,8.0,6.0,1.0,4.150453955901469,Csb,1,4.0,71.1
33,54,8176,8176,205,370,,,,4.0,0.6408789196613043,Cfa,12,1.0,54.0
34,57,8352,8352,206,379,86.0,8.0,6.0,1.0,2.517738612954929,Cfa,14,1.0,62.2
35,59,8472,8472,207,341,86.0,8.0,6.0,1.0,1.0681315327688026,Cfa,14,1.0,62.2
36,60,8804,8804,210,238,20.0,40.0,40.0,9.0,8.0,Csa,10,6.0,62.2
37,61,8915,8915,210,363,,,,4.0,0.5951018539712152,Cfa,14,1.0,62.2
38,66,9666,9666,215,367,86.0,8.0,6.0,1.0,6.240939955748843,Cfa,14,1.0,62.2
39,67,9809,9809,216,354,86.0,8.0,6.0,1.0,2.792401007095492,Cfa,14,1.0,62.2
40,69,10009,10009,217,405,,,,4.0,2.6398107881285284,Cfa,14,1.0,62.2
41,70,10287,10287,219,348,,,,4.0,1.7242694743267182,Cfa,5,5.0,55.0
42,72,10461,10461,220,365,40.0,39.0,21.0,4.0,1.9226367589837992,Cfa,14,1.0,62.2
43,74,10596,10596,221,334,20.0,40.0,40.0,9.0,5.096513313496644,Cfa,10,6.0,62.2
44,77,11224,11224,225,393,45.0,36.0,19.0,4.0,0.8239871824216607,Cfa,14,1.0,62.2
45,82,12067,12067,232,329,18.0,61.0,21.0,3.0,3.5629816128786445,Cfa,10,6.0,62.2
46,83,12181,12181,233,344,40.0,39.0,21.0,4.0,1.6327153429465395,Cfa,5,5.0,55.0
47,84,12200,12200,233,385,86.0,10.0,4.0,1.0,1.007095445182017,Cfa,14,1.0,62.2
48,85,12205,12205,233,390,37.0,46.0,17.0,4.0,0.8239871824216607,Cfa,14,1.0,62.2
49,92,12756,12756,238,356,86.0,8.0,6.0,1.0,0.8632198231649371,Cfa,5,5.0,55.0
