,index,r2_vod,r2_et,r2_sm,Geweke,N_vod,N_et,N_sm,ll_vod,ll_et,ll_sm,row,col,IGBP
0,9382,0.3987980552906211,0.6647348343850332,0.5318453884626227,0.0815119570044818,627.0,38.0,324.0,1.6332679876514287,-1.226787423689777,0.4846855321024436,126,1042,5
500,27785,0.28780567129623136,0.32777136044972843,0.5146621752758541,0.2179305029233702,993.0,64.0,388.0,2.4267915041533796,-0.6899561890730878,2.282408039787726,169,930,10
1000,31832,0.2893749196307576,0.33222983528305366,0.5673197229508562,0.08559923438084113,975.0,64.0,412.0,-2.681529400993894,-0.654114462939299,1.3064663039744633,177,988,10
1500,35543,0.45834490630268454,0.8391698892540429,0.5871104134274836,0.460475036638987,1169.0,85.0,402.0,2.0448776102456736,-0.7497395122713326,2.0163155700041395,187,959,7
2000,38125,0.3875092702164877,0.8154813223668174,0.6114076480590916,0.10017278234679501,1086.0,82.0,438.0,1.788128757695366,-0.5780152035022929,1.3440079759963601,195,712,7
2500,41422,0.6069052736966182,0.809785764167669,0.537734895044165,0.05119059093290962,1303.0,99.0,507.0,1.6248515896708298,-0.36930126138678576,0.9635003656852639,205,696,10
3000,43889,0.7082963810136468,0.7765012517421681,0.7708995556437175,0.41161645221060117,1345.0,99.0,523.0,1.811763486119398,-0.6136855025508543,1.0071940596962983,213,235,8
3500,45668,0.5689985762333016,0.78678206673054,0.5344415522648461,0.0663084462510761,995.0,72.0,338.0,1.7221035671263327,-0.30559627302586434,1.1234894991744677,218,906,10
4000,47444,0.16544256107048744,0.057649907327505426,0.6469311410100839,0.026584621999818075,665.0,48.0,198.0,1.892072129870245,-1.0790601632969796,2.0699518256692686,224,980,10
4500,50445,0.24618984354239368,0.6633855355445412,0.5106996815985104,0.013482642400159915,1326.0,100.0,401.0,2.1878371393646687,-0.4196387119000701,1.9489176368485368,238,288,7
5000,56593,0.7097150351026658,0.2851436733462327,0.5265998023718598,0.6396276332283701,1378.0,95.0,380.0,1.5792613412371137,-1.274486805844192,1.324226409670032,280,1041,2
5500,59327,,0.5867505986530612,0.608012520348979,0.37549447880456355,1362.0,99.0,366.0,-16.970875542482496,-0.8386042937805083,2.096674809024164,306,714,10
6000,60471,0.4512162094188584,0.6498150740404738,0.7155062015770456,0.01887779920799833,1358.0,103.0,363.0,1.352027974721802,-0.5798635638264766,1.6849801750641924,311,757,10
6500,61466,0.8841751558806223,0.5851578777859592,0.6038702357598814,0.28725212183329196,1277.0,99.0,386.0,1.8197957773217144,-1.113944970193534,1.4084927329371886,315,807,10
7000,62447,0.7061585704896437,0.5669669798732421,0.6969921955405618,0.08656509675155888,1420.0,100.0,405.0,1.6033702645120471,-0.816990415597969,1.2987784068063473,319,780,10
7500,64230,0.6845359023358709,0.5181485665936408,0.5546214396831809,0.03833180317495184,1441.0,102.0,404.0,1.226305528106769,-0.6679601843263098,0.9818053425861641,327,758,9
8000,68511,0.8243457176665919,0.5586709538477449,0.7127196825584053,0.4161219519098557,1418.0,100.0,353.0,1.816616054332922,-0.6421706002960471,2.050015637001657,378,859,9
8500,70740,0.9366020814859474,0.45285679334166284,0.568665484448721,0.3905520459673532,1446.0,99.0,421.0,1.8844476825900238,-1.0662032528771541,1.9923425288649568,401,852,9
9000,72957,0.2595277005919165,0.39482836711851826,0.6527557428446108,0.07363075305568478,950.0,74.0,297.0,1.7677903345110715,-0.6425034798215351,1.4144790868439374,417,423,10
9500,75822,0.8922860852352961,0.5711633091592773,0.5589501393983719,1.0699262510233425,1415.0,98.0,411.0,2.022631855261948,-0.7937434711072882,1.6140195367140375,429,531,9
10000,78246,0.2667208528332918,0.7009035965782375,0.5337125670083146,0.1639363558459085,1318.0,94.0,408.0,1.7962767959310515,-0.49665015620127234,1.669719309588554,438,906,9
10500,81654,0.630564658044181,0.6753688413252699,0.5905506651601816,0.1930131649554742,1334.0,101.0,405.0,1.779602360686893,-0.5967123545355159,2.2597770743587438,452,827,9
11000,86018,0.2255579373795733,0.06625640589166494,0.6311014293957851,0.4011847403497423,1448.0,104.0,468.0,1.9647932579147216,-1.1704458428758817,2.0884400517375097,473,1202,7
11500,88966,0.7595102004325842,0.6250385645281933,0.7497827728082288,0.12636552690206887,1397.0,101.0,495.0,1.9083090849620585,-0.418014386348863,1.7126552423879697,487,1197,7
